Hope(S1),Joy(S2),Surprise(S3),Anticipation(S4),Sadness(S5),Fear(S6),Anger(S7),Disgust(S8),Disgust-Joy(F1) ,Disgust-Hope(F2),Disgust-Anti(F3) ,Disgust-Surprise(F4),Anger-Joy(F5),Anger-Hope(F6),Anger-Anti(F7),Anger-Surprise(F8) ,Fear-Joy(F9),Fear-Hope(F10) ,Fear-Anti(F11),Fear-Surprise(F12) ,Sadness-Joy(F13),Sadness-Hope(F14) ,Sad-Anti(F15) ,Sadness-Surprise(F16),Positive(Joy+Hope) F17,Negative(Dis+Anger+Fear+Sad) F18,Neutral(Anti+Surprise) F19,LABEL
38578,41829,38831,52629,42255,45223,39763,36503,2075,5326,2328,16126,1185,2066,932,12866,6645,3394,6392,7406,3677,426,3424,10374,80407,163744,91460,1
149909,155450,146567,168476,152251,162120,162166,222195,72286,66745,75628,53719,12257,6716,15599,6310,12211,6670,15553,6356,2342,3199,5684,16225,305359,698732,315043,1
200041,194213,198103,226370,200407,199982,208343,235190,35149,40977,37087,8820,8302,14130,10240,18027,59,5769,1879,26388,366,6194,2304,25963,394254,843922,424473,1
58895,60669,58181,61830,63185,64355,63273,73512,14617,12843,15331,11682,4378,2604,5092,1443,5460,3686,6174,2525,4290,2516,5004,1355,119564,264325,120011,1
86836,91862,83864,110125,83898,79169,81986,91355,4519,507,7491,18770,4850,9876,1878,28139,7667,12693,4695,30956,2938,7964,34,26227,178698,336408,193989,1
111653,145528,135509,150061,126158,137808,125913,170410,58757,24882,34901,20349,14260,19615,9596,24148,26155,7720,2299,12253,14505,19370,9351,23903,257181,560289,285570,1
100696,96609,93884,93108,99363,91259,106508,134503,33807,37894,40619,41395,5812,9899,12624,13400,9437,5350,2625,1849,1333,2754,5479,6255,197305,431633,186992,1
153959,158441,141312,125110,149686,144791,152511,178456,24497,20015,37144,53346,1448,5930,11199,27401,9168,13650,3479,19681,4273,8755,8374,24576,312400,625444,266422,1
65093,67931,66160,70842,69258,74711,71190,154381,89288,86450,88221,83539,6097,3259,5030,348,9618,6780,8551,3869,4165,1327,3098,1584,133024,369540,137002,1
183552,207895,161947,206286,181674,174295,170484,238529,54977,30634,76582,32243,13068,37411,8537,35802,9257,33600,12348,31991,1878,26221,19727,24612,391447,764982,368233,1
66122,74674,60822,56953,69356,66901,65707,81716,15594,7042,20894,24763,415,8967,4885,8754,779,7773,6079,9948,3234,5318,8534,12403,140796,283680,117775,1
264765,286915,260672,220469,278672,279620,277536,286667,21902,248,25995,66198,12771,9379,16864,57067,14855,7295,18948,59151,13907,8243,18000,58203,551680,1122495,481141,1
152693,157534,144021,177145,140971,142653,146725,141913,10780,15621,2108,35232,5968,10809,2704,30420,10040,14881,1368,34492,11722,16563,3050,36174,310227,572262,321166,1
150500,165585,141311,157718,146395,150015,147255,110070,40430,55515,31241,47648,3245,18330,5944,10463,485,15570,8704,7703,4105,19190,5084,11323,316085,553735,299029,1
235650,241992,236771,281151,232197,241984,241289,261515,25865,19523,24744,19636,5639,703,4518,39862,6334,8,5213,39167,3453,9795,4574,48954,477642,976985,517922,1
167006,175984,142333,138315,155827,152190,135016,223235,56229,47251,80902,84920,31990,40968,7317,3299,14816,23794,9857,13875,11179,20157,13494,17512,342990,666268,280648,1
162100,164795,156196,161211,161628,164860,168869,123772,38328,41023,32424,37439,6769,4074,12673,7658,2760,65,8664,3649,472,3167,5432,417,326895,619129,317407,1
112166,127024,124016,107053,125941,122074,132090,138917,26751,11893,14901,31864,19924,5066,8074,25037,9908,4950,1942,15021,13775,1083,1925,18888,239190,519022,231069,1
137236,148038,126180,197501,131537,135592,133722,157135,19899,9097,30955,40366,3514,14316,7542,63779,1644,12446,9412,61909,5699,16501,5357,65964,285274,557986,323681,1
175184,181817,174835,200613,178453,187639,184908,206548,31364,24731,31713,5935,9724,3091,10073,15705,12455,5822,12804,12974,3269,3364,3618,22160,357001,757548,375448,1
88419,91138,69551,76147,79503,73045,67761,51850,36569,39288,17701,24297,20658,23377,1790,8386,15374,18093,3494,3102,8916,11635,9952,3356,179557,272159,145698,1
59249,70063,53892,99175,55636,58425,54334,60437,1188,9626,6545,38738,4915,15729,442,44841,824,11638,4533,40750,3613,14427,1744,43539,129312,228832,153067,1
112723,116376,104695,138359,109610,107433,94872,154409,41686,38033,49714,16050,17851,21504,9823,43487,5290,8943,2738,30926,3113,6766,4915,28749,229099,466324,243054,1
107282,110906,105455,90229,119555,117010,105227,100082,7200,10824,5373,9853,2055,5679,228,14998,9728,6104,11555,26781,12273,8649,14100,29326,218188,441874,195684,1
113022,123670,105128,158702,104180,101403,101088,79429,33593,44241,25699,79273,11934,22582,4040,57614,11619,22267,3725,57299,8842,19490,948,54522,236692,386100,263830,1
152302,147666,139943,186429,149337,145104,151902,205173,52871,57507,65230,18744,400,4236,11959,34527,7198,2562,5161,41325,2965,1671,9394,37092,299968,651516,326372,1
122149,140486,120659,124683,126272,129615,115847,159128,36979,18642,38469,34445,6302,24639,4812,8836,7466,10871,8956,4932,4123,14214,5613,1589,262635,530862,245342,1
