Hope(S1),Joy(S2),Surprise(S3),Anticipation(S4),Sadness(S5),Fear(S6),Anger(S7),Disgust(S8),Disgust-Joy(F1) ,Disgust-Hope(F2),Disgust-Anti(F3) ,Disgust-Surprise(F4),Anger-Joy(F5),Anger-Hope(F6),Anger-Anti(F7),Anger-Surprise(F8) ,Fear-Joy(F9),Fear-Hope(F10) ,Fear-Anti(F11),Fear-Surprise(F12) ,Sadness-Joy(F13),Sadness-Hope(F14) ,Sad-Anti(F15) ,Sadness-Surprise(F16),Positive(Joy+Hope) F17,Negative(Dis+Anger+Fear+Sad) F18,Neutral(Anti+Surprise) F19,LABEL
113969,104726,108814,190357,121724,109411,120577,165042,51073,60316,56228,25315,6608,15851,11763,69780,4558,4685,597,80946,7755,16998,12910,68633,218695,516754,299171,1
7526,7277,6750,11105,7063,6804,6870,23126,15600,15849,16376,12021,656,407,120,4235,722,473,54,4301,463,214,313,4042,14803,43863,17855,1
41453,44154,40497,35787,40480,39615,41098,66452,24999,22298,25955,30665,355,3056,601,5311,1838,4539,882,3828,973,3674,17,4693,85607,187645,76284,1
140607,141778,132930,130472,142858,139555,138204,182108,41501,40330,49178,51636,2403,3574,5274,7732,1052,2223,6625,9083,2251,1080,9928,12386,282385,602725,263402,1
120339,122201,105492,125449,114985,113901,109841,220675,100336,98474,115183,95226,10498,12360,4349,15608,6438,8300,8409,11548,5354,7216,9493,10464,242540,559402,230941,1
51884,51151,43496,52922,49571,45167,49364,67669,15785,16518,24173,14747,2520,1787,5868,3558,6717,5984,1671,7755,2313,1580,6075,3351,103035,211771,96418,1
150354,165977,142081,123008,137888,144186,132505,162278,11924,3699,20197,39270,17849,33472,9576,9497,6168,21791,2105,21178,12466,28089,4193,14880,316331,576857,265089,1
83906,84767,76326,86057,82937,86124,81927,78726,5180,6041,2400,7331,1979,2840,5601,4130,2218,1357,9798,67,969,1830,6611,3120,168673,329714,162383,1
124256,127954,128841,113826,130300,128847,131931,145655,21399,17701,16814,31829,7675,3977,3090,18105,4591,893,6,15021,6044,2346,1459,16474,252210,536733,242667,1
157539,165047,152260,194332,160947,171271,155105,255263,97724,90216,103003,60931,2434,9942,2845,39227,13732,6224,19011,23061,3408,4100,8687,33385,322586,742586,346592,1
87934,94211,90321,96645,90971,94958,93911,171907,83973,77696,81586,75262,5977,300,3590,2734,7024,747,4637,1687,3037,3240,650,5674,182145,451747,186966,1
86546,99470,95423,77134,94897,87092,102322,82844,3702,16626,12579,5710,15776,2852,6899,25188,546,12378,8331,9958,8351,4573,526,17763,186016,367155,172557,1
75727,64607,65284,68224,76652,73758,74477,127202,51475,62595,61918,58978,1250,9870,9193,6253,1969,9151,8474,5534,925,12045,11368,8428,140334,352089,133508,1
185424,181492,190279,234833,195509,200412,196396,227886,42462,46394,37607,6947,10972,14904,6117,38437,14988,18920,10133,34421,10085,14017,5230,39324,366916,820203,425112,1
41502,34023,41978,28006,43190,43514,43531,116637,75135,82614,74659,88631,2029,9508,1553,15525,2012,9491,1536,15508,1688,9167,1212,15184,75525,246872,69984,1
140967,136269,151191,145241,177800,169946,196553,260506,119539,124237,109315,115265,55586,60284,45362,51312,28979,33677,18755,24705,36833,41531,26609,32559,277236,804805,296432,1
74179,69146,70755,74038,79618,77840,80086,199338,125159,130192,128583,125300,5907,10940,9331,6048,3661,8694,7085,3802,5439,10472,8863,5580,143325,436882,144793,1
89804,93552,84264,81815,95894,91418,93090,86821,2983,6731,2557,5006,3286,462,8826,11275,1614,2134,7154,9603,6090,2342,11630,14079,183356,367223,166079,1
19197,16291,14429,19946,17874,17403,17660,34879,15682,18588,20450,14933,1537,1369,3231,2286,1794,1112,2974,2543,1323,1583,3445,2072,35488,87816,34375,1
122127,122626,106944,154163,114531,117369,108712,227008,104881,104382,120064,72845,13415,13914,1768,45451,4758,5257,10425,36794,7596,8095,7587,39632,244753,567620,261107,1
170390,176488,170813,183774,171638,169765,167732,189903,19513,13415,19090,6129,2658,8756,3081,16042,625,6723,1048,14009,1248,4850,825,12136,346878,699038,354587,1
102697,100730,86158,61663,105700,97831,103656,115520,12823,14790,29362,53857,959,2926,17498,41993,4866,2899,11673,36168,3003,4970,19542,44037,203427,422707,147821,1
100923,101060,108979,140817,107227,111720,106786,160309,59386,59249,51330,19492,5863,5726,2193,34031,10797,10660,2741,29097,6304,6167,1752,33590,201983,486042,249796,1
95708,101959,88671,118097,98081,96425,101831,164762,69054,62803,76091,46665,6123,128,13160,16266,717,5534,7754,21672,2373,3878,9410,20016,197667,461099,206768,1
79691,70960,66970,93524,68065,61281,65762,125861,46170,54901,58891,32337,13929,5198,1208,27762,18410,9679,5689,32243,11626,2895,1095,25459,150651,320969,160494,1
98765,100925,92307,125161,79315,82040,73541,89670,9095,11255,2637,35491,25224,27384,18766,51620,16725,18885,10267,43121,19450,21610,12992,45846,199690,324566,217468,1
20841,23305,19077,20076,21675,18227,25272,47710,26869,24405,28633,27634,4431,1967,6195,5196,2614,5078,850,1849,834,1630,2598,1599,44146,112884,39153,1
49244,47850,52823,65399,51218,46355,44044,80285,31041,32435,27462,14886,5200,3806,8779,21355,2889,1495,6468,19044,1974,3368,1605,14181,97094,221902,118222,1
178121,160333,152345,211256,164419,158779,156828,220004,41883,59671,67659,8748,21293,3505,4483,54428,19342,1554,6434,52477,13702,4086,12074,46837,338454,700030,363601,1
210597,212157,203960,267853,217442,221575,221628,280523,69926,68366,76563,12670,11031,9471,17668,46225,10978,9418,17615,46278,6845,5285,13482,50411,422754,941168,471813,1
158598,164993,141804,166866,152347,158532,135296,135275,23323,29718,6529,31591,23302,29697,6508,31570,66,6461,16728,8334,6251,12646,10543,14519,323591,581450,308670,1
147901,158214,145924,138667,163117,157683,160780,185317,37416,27103,39393,46650,12879,2566,14856,22113,9782,531,11759,19016,15216,4903,17193,24450,306115,666897,284591,1
206014,200827,200876,215841,209490,199148,197601,324281,118267,123454,123405,108440,8413,3226,3275,18240,6866,1679,1728,16693,3476,8663,8614,6351,406841,930520,416717,1
100714,108270,105194,113916,101316,104022,100329,154681,53967,46411,49487,40765,385,7941,4865,13587,3308,4248,1172,9894,602,6954,3878,12600,208984,460348,219110,1
121096,114699,118095,144459,127364,119961,122863,228501,107405,113802,110406,84042,1767,8164,4768,21596,1135,5262,1866,24498,6268,12665,9269,17095,235795,598689,262554,1
93549,92970,88604,89167,99537,93513,101986,101620,8071,8650,13016,12453,8437,9016,13382,12819,36,543,4909,4346,5988,6567,10933,10370,186519,396656,177771,1
267969,270983,259799,288895,271067,269893,279805,353045,85076,82062,93246,64150,11836,8822,20006,9090,1924,1090,10094,19002,3098,84,11268,17828,538952,1173810,548694,1
159953,177260,169300,121033,171587,147527,182452,151760,8193,25500,17540,30727,22499,5192,13152,61419,12426,29733,21773,26494,11634,5673,2287,50554,337213,653326,290333,1
113499,126571,105425,143714,120218,109474,108085,96110,17389,30461,9315,47604,5414,18486,2660,35629,4025,17097,4049,34240,6719,6353,14793,23496,240070,433887,249139,1
108798,95939,103590,87871,117336,118532,115460,120138,11340,24199,16548,32267,6662,19521,11870,27589,9734,22593,14942,30661,8538,21397,13746,29465,204737,471466,191461,1
154246,148223,160788,138780,141489,156129,149363,204663,50417,56440,43875,65883,4883,1140,11425,10583,1883,7906,4659,17349,12757,6734,19299,2709,302469,651644,299568,1
51843,51263,46891,76110,48567,52175,49044,103295,51452,52032,56404,27185,2799,2219,2153,27066,332,912,5284,23935,3276,2696,1676,27543,103106,253081,123001,1
83071,81052,79241,61448,88178,89533,87979,186264,103193,105212,107023,124816,4908,6927,8738,26531,6462,8481,10292,28085,5107,7126,8937,26730,164123,451954,140689,1
33563,28685,28778,39411,29895,26035,32017,20072,13491,8613,8706,19339,1546,3332,3239,7394,7528,2650,2743,13376,3668,1210,1117,9516,62248,108019,68189,1
104474,116280,98478,182490,103700,113563,93967,155627,51153,39347,57149,26863,10507,22313,4511,88523,9089,2717,15085,68927,774,12580,5222,78790,220754,466857,280968,1
93758,105503,95692,95667,92441,109460,92734,153361,59603,47858,57669,57694,1024,12769,2958,2933,15702,3957,13768,13793,1317,13062,3251,3226,199261,447996,191359,1
58552,66499,66192,81452,65041,66372,73822,99798,41246,33299,33606,18346,15270,7323,7630,7630,7820,127,180,15080,6489,1458,1151,16411,125051,305033,147644,1
135558,148080,139748,173041,135956,142761,135470,150513,14955,2433,10765,22528,88,12610,4278,37571,7203,5319,3013,30280,398,12124,3792,37085,283638,564700,312789,1
97069,64503,77508,73716,95642,94131,65553,102486,5417,37983,24978,28770,31516,1050,11955,8163,2938,29628,16623,20415,1427,31139,18134,21926,161572,357812,151224,1
96123,97181,93986,119707,95891,104872,93256,91154,4969,6027,2832,28553,2867,3925,730,26451,8749,7691,10886,14835,232,1290,1905,23816,193304,385173,213693,1
279972,258994,258317,306086,260694,262693,276661,349841,69869,90847,91524,43755,3311,17667,18344,29425,17279,3699,4376,43393,19278,1700,2377,45392,538966,1149889,564403,1
92721,87194,84326,68912,91003,89120,91774,72153,20568,15041,12173,3241,947,4580,7448,22862,3601,1926,4794,20208,1718,3809,6677,22091,179915,344050,153238,1
72024,80599,73119,101920,70222,69057,63992,105635,33611,25036,32516,3715,8032,16607,9127,37928,2967,11542,4062,32863,1802,10377,2897,31698,152623,308906,175039,1
126972,143448,127651,123641,129611,133143,127984,121747,5225,21701,5904,1894,1012,15464,333,4343,6171,10305,5492,9502,2639,13837,1960,5970,270420,512485,251292,1
44145,33072,35422,35831,42703,41926,43410,102330,58185,69258,66908,66499,735,10338,7988,7579,2219,8854,6504,6095,1442,9631,7281,6872,77217,230369,71253,1
49475,55735,53540,70284,39299,47814,42007,78445,28970,22710,24905,8161,7468,13728,11533,28277,1661,7921,5726,22470,10176,16436,14241,30985,105210,207565,123824,1
148267,155496,142727,175559,152116,151065,145706,188463,40196,32967,45736,12904,2561,9790,2979,29853,2798,4431,8338,24494,3849,3380,9389,23443,303763,637350,318286,1
86101,76459,70723,59066,73178,73245,77696,124214,38113,47755,53491,65148,8405,1237,6973,18630,12856,3214,2522,14179,12923,3281,2455,14112,162560,348333,129789,1
200492,215390,189000,217379,196646,193974,188984,222457,21965,7067,33457,5078,11508,26406,16,28395,6518,21416,4974,23405,3846,18744,7646,20733,415882,802061,406379,1
129704,125423,115007,185321,133151,139141,135627,217274,87570,91851,102267,31953,5923,10204,20620,49694,9437,13718,24134,46180,3447,7728,18144,52170,255127,625193,300328,1
28386,27463,25849,33052,31134,28758,26634,100589,72203,73126,74740,67537,1752,829,785,6418,372,1295,2909,4294,2748,3671,5285,1918,55849,187115,58901,1
137442,127473,119767,153132,148041,140098,145587,178843,41401,51370,59076,25711,8145,18114,25820,7545,2656,12625,20331,13034,10599,20568,28274,5091,264915,612569,272899,1
53901,51746,52557,83338,53138,53909,57166,85081,31180,33335,32524,1743,3265,5420,4609,26172,8,2163,1352,29429,763,1392,581,30200,105647,249294,135895,1
122109,125627,129050,97658,139709,138818,137613,195856,73747,70229,66806,98198,15504,11986,8563,39955,16709,13191,9768,41160,17600,14082,10659,42051,247736,611996,226708,1
109327,121707,101428,99201,113865,114884,104127,112845,3518,8862,11417,13644,5200,17580,2699,4926,5557,6823,13456,15683,4538,7842,12437,14664,231034,445721,200629,1
102261,106639,96289,98934,100672,97726,96555,128916,26655,22277,32627,29982,5706,10084,266,2379,4535,8913,1437,1208,1589,5967,4383,1738,208900,423869,195223,1
118195,123117,109210,123613,114255,111553,113128,127290,9095,4173,18080,3677,5067,9989,3918,10485,6642,11564,2343,12060,3940,8862,5045,9358,241312,466226,232823,1
52019,55845,50500,49740,57482,53964,56062,47055,4964,8790,3445,2685,4043,217,5562,6322,1945,1881,3464,4224,5463,1637,6982,7742,107864,214563,100240,1
101508,103303,90258,155977,93371,90061,92700,109062,7554,5759,18804,46915,8808,10603,2442,63277,11447,13242,197,65916,8137,9932,3113,62606,204811,385194,246235,1
60727,60904,56729,54698,63135,61740,64711,53228,7499,7676,3501,1470,3984,3807,7982,10013,1013,836,5011,7042,2408,2231,6406,8437,121631,242814,111427,1
79111,83106,83814,49621,87529,83828,86788,147659,68548,64553,63845,98038,7677,3682,2974,37167,4717,722,14,34207,8418,4423,3715,37908,162217,405804,133435,1
17358,19572,15661,18125,18077,16667,17388,17496,138,2076,1835,629,30,2184,1727,737,691,2905,1006,1458,719,1495,2416,48,36930,69628,33786,1
86823,105089,88849,103534,88414,92748,89479,57212,29611,47877,31637,46322,2656,15610,630,14055,5925,12341,3899,10786,1591,16675,435,15120,191912,327853,192383,1
85252,74895,68161,79810,81799,76404,73396,100122,14870,25227,31961,20312,11856,1499,5235,6414,8848,1509,8243,3406,3453,6904,13638,1989,160147,331721,147971,1
139456,139436,135190,128837,151269,147211,146155,104750,34706,34686,30440,24087,6699,6719,10965,17318,7755,7775,12021,18374,11813,11833,16079,22432,278892,549385,264027,1
78483,73357,71206,133963,65258,72636,60772,159283,80800,85926,88077,25320,17711,12585,10434,73191,5847,721,1430,61327,13225,8099,5948,68705,151840,357949,205169,1
213650,220345,192771,193329,217029,208226,209552,238104,24454,17759,45333,44775,4098,10793,16781,16223,5424,12119,15455,14897,3379,3316,24258,23700,433995,872911,386100,1
36239,32520,32690,34587,31559,37379,34434,73300,37061,40780,40610,38713,1805,1914,1744,153,1140,4859,4689,2792,4680,961,1131,3028,68759,176672,67277,1
22795,20249,17336,25806,21876,23750,21914,45264,22469,25015,27928,19458,881,1665,4578,3892,955,3501,6414,2056,919,1627,4540,3930,43044,112804,43142,1
104902,107959,113155,101888,112657,113380,109898,113551,8649,5592,396,11663,4996,1939,3257,8010,8478,5421,225,11492,7755,4698,498,10769,212861,449486,215043,1
78773,87876,80625,79285,82955,80580,77244,70605,8168,17271,10020,8680,1529,10632,3381,2041,1807,7296,45,1295,4182,4921,2330,3670,166649,311384,159910,1
188332,210236,163794,253993,163381,177951,149043,225658,37326,15422,61864,28335,39289,61193,14751,104950,10381,32285,14157,76042,24951,46855,413,90612,398568,716033,417787,1
147487,157183,133059,230836,135909,135186,131603,272524,125037,115341,139465,41688,15884,25580,1456,99233,12301,21997,2127,95650,11578,21274,2850,94927,304670,675222,363895,1
50076,55268,41774,70420,43483,46533,49825,43641,6435,11627,1867,26779,251,5443,8051,20595,3543,8735,4759,23887,6593,11785,1709,26937,105344,183482,112194,1
37768,43364,35036,34217,35975,34937,36912,85246,47478,41882,50210,51029,856,6452,1876,2695,2831,8427,99,720,1793,7389,939,1758,81132,193070,69253,1
48529,48702,42197,49393,50969,49870,44215,57928,9399,9226,15731,8535,4314,4487,2018,5178,1341,1168,7673,477,2440,2267,8772,1576,97231,202982,91590,1
138541,154301,135702,132218,131613,134826,132685,192941,54400,38640,57239,60723,5856,21616,3017,467,3715,19475,876,2608,6928,22688,4089,605,292842,592065,267920,1
172013,178493,183558,124132,186609,186894,193904,153546,18467,24947,30012,29414,21891,15411,10346,69772,14881,8401,3336,62762,14596,8116,3051,62477,350506,720953,307690,1
253533,252444,235344,202395,270315,279196,240104,310931,57398,58487,75587,108536,13429,12340,4760,37709,25663,26752,43852,76801,16782,17871,34971,67920,505977,1100546,437739,1
152192,151653,163628,164715,157600,167308,159002,190316,38124,38663,26688,25601,6810,7349,4626,5713,15116,15655,3680,2593,5408,5947,6028,7115,303845,674226,328343,1
164467,186916,159319,164554,177053,172056,173823,236884,72417,49968,77565,72330,9356,13093,14504,9269,7589,14860,12737,7502,12586,9863,17734,12499,351383,759816,323873,1
50398,49104,45672,32563,53365,48130,53854,58082,7684,8978,12410,25519,3456,4750,8182,21291,2268,974,2458,15567,2967,4261,7693,20802,99502,213431,78235,1
160332,171232,155306,169086,158356,163454,153793,240038,79706,68806,84732,70952,6539,17439,1513,15293,3122,7778,8148,5632,1976,12876,3050,10730,331564,715641,324392,1
47938,46521,46453,43004,50282,50969,48803,63699,15761,17178,17246,20695,865,2282,2350,5799,3031,4448,4516,7965,2344,3761,3829,7278,94459,213753,89457,1
20206,20189,18609,21407,15913,18436,18303,27294,7088,7105,8685,5887,1903,1886,306,3104,1770,1753,173,2971,4293,4276,2696,5494,40395,79946,40016,1
233894,221642,210574,230085,216507,221770,213728,224219,9675,2577,13645,5866,20166,7914,3154,16357,12124,128,11196,8315,17387,5135,5933,13578,455536,876224,440659,1
232937,248333,205453,234940,228964,227014,233465,286126,53189,37793,80673,51186,528,14868,28012,1475,5923,21319,21561,7926,3973,19369,23511,5976,481270,975569,440393,1
156876,150783,145769,207497,174840,186470,182547,307623,150747,156840,161854,100126,25671,31764,36778,24950,29594,35687,40701,21027,17964,24057,29071,32657,307659,851480,353266,1
31156,37450,32861,92195,39418,37064,40106,88936,57780,51486,56075,3259,8950,2656,7245,52089,5908,386,4203,55131,8262,1968,6557,52777,68606,205524,125056,1
46523,45598,42229,42526,45792,46714,41827,28137,18386,17461,14092,14389,4696,3771,402,699,191,1116,4485,4188,731,194,3563,3266,92121,162470,84755,1
142555,143428,135560,134728,157587,150956,148334,162707,20152,19279,27147,27979,5779,4906,12774,13606,8401,7528,15396,16228,15032,14159,22027,22859,285983,619584,270288,1
72055,73963,70423,76234,71482,72381,74234,131538,59483,57575,61115,55304,2179,271,3811,2000,326,1582,1958,3853,573,2481,1059,4752,146018,349635,146657,1
165964,169537,155494,209112,154675,164906,143914,209949,43985,40412,54455,837,22050,25623,11580,65198,1058,4631,9412,44206,11289,14862,819,54437,335501,673444,364606,1
157049,149670,135292,152671,143832,145344,141140,204721,47672,55051,69429,52050,15909,8530,5848,11531,11705,4326,10052,7327,13217,5838,8540,8839,306719,635037,287963,1
27708,23768,26450,27050,28779,27487,29034,34602,6894,10834,8152,7552,1326,5266,2584,1984,221,3719,1037,437,1071,5011,2329,1729,51476,119902,53500,1
128577,120044,115591,156352,119108,122453,110451,242952,114375,122908,127361,86600,18126,9593,5140,45901,6124,2409,6862,33899,9469,936,3517,37244,248621,594964,271943,1
284011,269845,282840,268930,286227,285744,273326,302175,18164,32330,19335,33245,10685,3481,9514,4396,1733,15899,2904,16814,2216,16382,3387,17297,553856,1147472,551770,1
11872,20618,16057,9800,9629,13588,12838,2633,9239,17985,13424,7167,966,7780,3219,3038,1716,7030,2469,3788,2243,10989,6428,171,32490,38688,25857,1
58208,54964,57253,64683,58866,59932,57330,81102,22894,26138,23849,16419,878,2366,77,7353,1724,4968,2679,4751,658,3902,1613,5817,113172,257230,121936,1
95109,97367,83762,126645,86869,81548,77574,169958,74849,72591,86196,43313,17535,19793,6188,49071,13561,15819,2214,45097,8240,10498,3107,39776,192476,415949,210407,1
62688,75325,71592,103918,72884,76747,78032,91471,28783,16146,19879,12447,15344,2707,6440,25886,14059,1422,5155,27171,10196,2441,1292,31034,138013,319134,175510,1
151059,145808,138514,151674,152414,155557,143255,159156,8097,13348,20642,7482,7804,2553,4741,8419,4498,9749,17043,3883,1355,6606,13900,740,296867,610382,290188,1
210009,206591,194606,238095,202223,210598,212011,288442,78433,81851,93836,50347,2002,5420,17405,26084,589,4007,15992,27497,7786,4368,7617,35872,416600,913274,432701,1
46503,50354,43051,61741,43600,45907,43524,94472,47969,44118,51421,32731,2979,6830,473,18217,596,4447,2856,15834,2903,6754,549,18141,96857,227503,104792,1
22877,22963,22555,20127,26227,24173,26245,22959,82,4,404,2832,3368,3282,3690,6118,1296,1210,1618,4046,3350,3264,3672,6100,45840,99604,42682,1
60007,63423,51696,81477,60916,57320,56944,63992,3985,569,12296,17485,3063,6479,5248,24533,2687,6103,5624,24157,909,2507,9220,20561,123430,239172,133173,1
61358,69854,57159,74133,55696,60864,58247,63276,1918,6578,6117,10857,3111,11607,1088,15886,494,8990,3705,13269,5662,14158,1463,18437,131212,238083,131292,1
68082,64525,66392,52529,70767,68935,69390,80441,12359,15916,14049,27912,1308,4865,2998,16861,853,4410,2543,16406,2685,6242,4375,18238,132607,289533,118921,1
117495,127581,113170,115210,129346,122574,122276,164274,46779,36693,51104,49064,4781,5305,9106,7066,5079,5007,9404,7364,11851,1765,16176,14136,245076,538470,228380,1
85526,87679,84009,50424,88994,93804,91870,75002,10524,12677,9007,24578,6344,4191,7861,41446,8278,6125,9795,43380,3468,1315,4985,38570,173205,349670,134433,1
118959,136206,110084,159613,118408,120693,104791,133063,14104,3143,22979,26550,14168,31415,5293,54822,1734,15513,10609,38920,551,17798,8324,41205,255165,476955,269697,1
203597,188646,194873,194018,204561,208784,208935,293723,90126,105077,98850,99705,5338,20289,14062,14917,5187,20138,13911,14766,964,15915,9688,10543,392243,916003,388891,1
104895,119811,106542,133659,113055,109905,120920,108757,3862,11054,2215,24902,16025,1109,14378,12739,5010,9906,3363,23754,8160,6756,6513,20604,224706,452637,240201,1
126272,117121,115629,101221,110251,104245,96938,152604,26332,35483,36975,51383,29334,20183,18691,4283,22027,12876,11384,3024,16021,6870,5378,9030,243393,464038,216850,1
106604,106022,96087,115587,102536,100411,98486,130644,24040,24622,34557,15057,8118,7536,2399,17101,6193,5611,4324,15176,4068,3486,6449,13051,212626,432077,211674,1
144407,153585,129064,218741,142894,139094,141915,280348,135941,126763,151284,61607,2492,11670,12851,76826,5313,14491,10030,79647,1513,10691,13830,75847,297992,704251,347805,1
126609,126902,120085,139871,127206,120769,124320,126995,386,93,6910,12876,2289,2582,4235,15551,5840,6133,684,19102,597,304,7121,12665,253511,499290,259956,1
68781,80781,60780,64152,68056,66826,64767,93345,24564,12564,32565,29193,4014,16014,3987,615,1955,13955,6046,2674,725,12725,7276,3904,149562,292994,124932,1
38108,40659,34126,36207,41674,40410,38472,32390,5718,8269,1736,3817,364,2187,4346,2265,2302,249,6284,4203,3566,1015,7548,5467,78767,152946,70333,1
68997,84553,85799,121497,85755,85211,87223,84609,15612,56,1190,36888,18226,2670,1424,34274,16214,658,588,36286,16758,1202,44,35742,153550,342798,207296,1
58128,64656,61054,68099,62396,64180,59579,118885,60757,54229,57831,50786,1451,5077,1475,8520,6052,476,3126,3919,4268,2260,1342,5703,122784,305040,129153,1
145673,149471,134675,188346,134991,143855,131488,183030,37357,33559,48355,5316,14185,17983,3187,56858,1818,5616,9180,44491,10682,14480,316,53355,295144,593364,323021,1
132570,131658,124809,141884,134680,130862,126548,185507,52937,53849,60698,43623,6022,5110,1739,15336,1708,796,6053,11022,2110,3022,9871,7204,264228,577597,266693,1
82509,78216,76285,53798,83127,81100,81031,90998,8489,12782,14713,37200,1478,2815,4746,27233,1409,2884,4815,27302,618,4911,6842,29329,160725,336256,130083,1
151931,163168,157465,142023,169287,174304,165150,226074,74143,62906,68609,84051,13219,1982,7685,23127,22373,11136,16839,32281,17356,6119,11822,27264,315099,734815,299488,1
210142,231403,210725,276344,207412,206981,193968,220601,10459,10802,9876,55743,16174,37435,16757,82376,3161,24422,3744,69363,2730,23991,3313,68932,441545,828962,487069,1
222079,225528,207113,255387,229484,222704,228511,256969,34890,31441,49856,1582,6432,2983,21398,26876,625,2824,15591,32683,7405,3956,22371,25903,447607,937668,462500,1
216752,208495,190000,228509,192971,206282,167878,247275,30523,38780,57275,18766,48874,40617,22122,60631,10470,2213,16282,22227,23781,15524,2971,35538,425247,814406,418509,1
144941,144621,129199,166361,141689,137419,134414,107358,37583,37263,21841,59003,10527,10207,5215,31947,7522,7202,8220,28942,3252,2932,12490,24672,289562,520880,295560,1
131008,113930,122086,142210,122245,126163,122843,233533,102525,119603,111447,91323,8165,8913,757,19367,4845,12233,4077,16047,8763,8315,159,19965,244938,604784,264296,1
104534,116873,100590,131980,106999,106854,97161,156861,52327,39988,56271,24881,7373,19712,3429,34819,2320,10019,6264,25126,2465,9874,6409,24981,221407,467875,232570,1
235439,203035,209485,215740,212558,205840,223977,355322,119883,152287,145837,139582,11462,20942,14492,8237,29599,2805,3645,9900,22881,9523,3073,3182,438474,997697,425225,1
146555,156155,143245,162205,148794,145302,144046,171279,24724,15124,28034,9074,2509,12109,801,18159,1253,10853,2057,16903,2239,7361,5549,13411,302710,609421,305450,1
83569,85918,77806,66939,75862,77535,70806,97378,13809,11460,19572,30439,12763,15112,7000,3867,6034,8383,271,10596,7707,10056,1944,8923,169487,321581,144745,1
112781,139596,113655,175137,99327,98972,91788,164468,51687,24872,50813,10669,20993,47808,21867,83349,13809,40624,14683,76165,13454,40269,14328,75810,252377,454555,288792,1
300942,284460,261116,269353,306041,298514,265892,384737,83795,100277,123621,115384,35050,18568,4776,3461,2428,14054,37398,29161,5099,21581,44925,36688,585402,1255184,530469,1
94017,100775,88388,71518,97650,98810,90421,134620,40603,33845,46232,63102,3596,10354,2033,18903,4793,1965,10422,27292,3633,3125,9262,26132,194792,421501,159906,1
102099,106783,94814,100195,111133,109691,103496,130573,28474,23790,35759,30378,1397,3287,8682,3301,7592,2908,14877,9496,9034,4350,16319,10938,208882,454893,195009,1
31733,34420,33542,56784,29577,30108,27760,44881,13148,10461,11339,11903,3973,6660,5782,29024,1625,4312,3434,26676,2156,4843,3965,27207,66153,132326,90326,1
4153,3910,3805,3293,3777,3985,4006,24899,20746,20989,21094,21606,147,96,201,713,168,75,180,692,376,133,28,484,8063,36667,7098,1
69137,90593,68300,61233,49601,51519,42021,61896,7241,28697,6404,663,27116,48572,26279,19212,17618,39074,16781,9714,19536,40992,18699,11632,159730,205037,129533,1
46348,39963,47511,32097,45445,49899,47214,103617,57269,63654,56106,71520,866,7251,297,15117,3551,9936,2388,17802,903,5482,2066,13348,86311,246175,79608,1
70389,70718,59532,134320,67757,68353,61401,133656,63267,62938,74124,664,8988,9317,1869,72919,2036,2365,8821,65967,2632,2961,8225,66563,141107,331167,193852,1
10797,10977,10218,11863,6375,10155,9699,21431,10634,10454,11213,9568,1098,1278,519,2164,642,822,63,1708,4422,4602,3843,5488,21774,47660,22081,1
33635,34617,24894,47287,34529,34495,29256,70316,36681,35699,45422,23029,4379,5361,4362,18031,860,122,9601,12792,894,88,9635,12758,68252,168596,72181,1
60948,63494,61416,74811,48564,52520,41271,60292,656,3202,1124,14519,19677,22223,20145,33540,8428,10974,8896,22291,12384,14930,12852,26247,124442,202647,136227,1
186958,181082,188876,187268,191454,205277,196665,163751,23207,17331,25125,23517,9707,15583,7789,9397,18319,24195,16401,18009,4496,10372,2578,4186,368040,757147,376144,1
25352,27318,27020,31134,28142,28138,25391,55236,29884,27918,28216,24102,39,1927,1629,5743,2786,820,1118,2996,2790,824,1122,2992,52670,136907,58154,1
152879,160286,141136,169256,141213,149726,144318,163377,10498,3091,22241,5879,8561,15968,3182,24938,3153,10560,8590,19530,11666,19073,77,28043,313165,598634,310392,1
94067,101709,98939,82347,99382,102541,99037,154462,60395,52753,55523,72115,4970,2672,98,16690,8474,832,3602,20194,5315,2327,443,17035,195776,455422,181286,1
34240,41685,32635,47226,31552,36108,29178,49995,15755,8310,17360,2769,5062,12507,3457,18048,1868,5577,3473,11118,2688,10133,1083,15674,75925,146833,79861,1
39486,41287,40072,84818,34109,32873,31073,80667,41181,39380,40595,4151,8413,10214,8999,53745,6613,8414,7199,51945,5377,7178,5963,50709,80773,178722,124890,1
90403,95786,90509,96018,84013,87656,84522,141282,50879,45496,50773,45264,5881,11264,5987,11496,2747,8130,2853,8362,6390,11773,6496,12005,186189,397473,186527,1
129789,129421,127109,117374,117016,124121,119983,213623,83834,84202,86514,96249,9806,9438,7126,2609,5668,5300,2988,6747,12773,12405,10093,358,259210,574743,244483,1
234144,244580,248094,232183,254456,256400,251663,337902,103758,93322,89808,105719,17519,7083,3569,19480,22256,11820,8306,24217,20312,9876,6362,22273,478724,1100421,480277,1
56833,63472,78969,50731,76643,75671,72271,46517,10316,16955,32452,4214,15438,8799,6698,21540,18838,12199,3298,24940,19810,13171,2326,25912,120305,271102,129700,1
56833,63472,78969,50731,76643,75671,72271,46517,10316,16955,32452,4214,15438,8799,6698,21540,18838,12199,3298,24940,19810,13171,2326,25912,120305,271102,129700,1
